0,CombatZoneResize,241,226,406,391,TLResume,
0,HeartTeleport,320,304,,,,
0,HeartMode,0,,,,,
0,TLPause,,,,,,
0.5,bonev,406,226,82.5,2,300,0
0,bonev,241,226,82.5,0,300,0
0,bonev,406,308.5,82.5,2,300,2
0,bonev,241,308.5,82.5,0,300,2
0.6,boneh,323.5,226,82.5,1,300,1
0,boneh,241,226,82.5,1,300,0
0,boneh,323.5,391,82.5,3,300,1
0,boneh,241,391,82.5,3,300,0
0.6,bonev,406,226,82.5,2,300,1
0,bonev,241,226,82.5,0,300,1
0,bonev,406,308.5,82.5,2,300,0
0,bonev,241,308.5,82.5,0,300,0
0.6,boneh,323.5,226,82.5,1,300,0
0,boneh,241,226,82.5,1,300,2
0,boneh,323.5,391,82.5,3,300,0
0,boneh,241,391,82.5,3,300,2
0.6,bonev,406,226,82.5,2,300,0
0,bonev,241,226,82.5,0,300,0
0,bonev,406,308.5,82.5,2,300,2
0,bonev,241,308.5,82.5,0,300,2
0.6,boneh,323.5,226,82.5,1,300,1
0,boneh,241,226,82.5,1,300,0
0,boneh,323.5,391,82.5,3,300,1
0,boneh,241,391,82.5,3,300,0
0.6,bonev,406,226,82.5,2,300,1
0,bonev,241,226,82.5,0,300,1
0,bonev,406,308.5,82.5,2,300,0
0,bonev,241,308.5,82.5,0,300,0
0.6,boneh,323.5,226,82.5,1,300,0
0,boneh,241,226,82.5,1,300,2
0,boneh,323.5,391,82.5,3,300,0
0,boneh,241,391,82.5,3,300,2
0.6,bonev,406,226,82.5,2,300,0
0,bonev,241,226,82.5,0,300,0
0,bonev,406,308.5,82.5,2,300,2
0,bonev,241,308.5,82.5,0,300,2
0.6,boneh,323.5,226,82.5,1,300,1
0,boneh,241,226,82.5,1,300,0
0,boneh,323.5,391,82.5,3,300,1
0,boneh,241,391,82.5,3,300,0
0.6,bonev,406,226,82.5,2,300,1
0,bonev,241,226,82.5,0,300,1
0,bonev,406,308.5,82.5,2,300,0
0,bonev,241,308.5,82.5,0,300,0
0.6,boneh,323.5,226,82.5,1,300,0
0,boneh,241,226,82.5,1,300,2
0,boneh,323.5,391,82.5,3,300,0
0,boneh,241,391,82.5,3,300,2
0.6,bonev,406,226,82.5,2,300,0
0,bonev,241,226,82.5,0,300,0
0,bonev,406,308.5,82.5,2,300,2
0,bonev,241,308.5,82.5,0,300,2
0.6,boneh,323.5,226,82.5,1,300,1
0,boneh,241,226,82.5,1,300,0
0,boneh,323.5,391,82.5,3,300,1
0,boneh,241,391,82.5,3,300,0
0.6,bonev,406,226,82.5,2,300,1
0,bonev,241,226,82.5,0,300,1
0,bonev,406,308.5,82.5,2,300,0
0,bonev,241,308.5,82.5,0,300,0
0.6,boneh,323.5,226,82.5,1,300,0
0,boneh,241,226,82.5,1,300,2
0,boneh,323.5,391,82.5,3,300,0
0,boneh,241,391,82.5,3,300,2
0.6,bonev,406,226,82.5,2,300,0
0,bonev,241,226,82.5,0,300,0
0,bonev,406,308.5,82.5,2,300,2
0,bonev,241,308.5,82.5,0,300,2
0.6,boneh,323.5,226,82.5,1,300,1
0,boneh,241,226,82.5,1,300,0
0,boneh,323.5,391,82.5,3,300,1
0,boneh,241,391,82.5,3,300,0
0.6,bonev,406,226,82.5,2,300,1
0,bonev,241,226,82.5,0,300,1
0,bonev,406,308.5,82.5,2,300,0
0,bonev,241,308.5,82.5,0,300,0
0.6,boneh,323.5,226,82.5,1,300,0
0,boneh,241,226,82.5,1,300,2
0,boneh,323.5,391,82.5,3,300,0
0,boneh,241,391,82.5,3,300,2
0.6,sansbody,handup,,,,,
0,sansslam,3,,,,,
0,bonestab,3,50,0.7,1,,
1.2,endattack,,,,,,
