0,CombatZoneResize,239,226,404,391,,,
0,HeartTeleport,320,324,,,,,
0.5,HeartMode,0,,,,,,
,,,,,,,,
0.2,RND,A,3,,,,,
0,ADD,A,$A,1,,,,
0,Sound,Ding,,,,,,
0,JMPREL,$A,,,,,,
0,JMPABS,Attack1,,,,,,
0,JMPABS,Attack2,,,,,,
0,JMPABS,Attack3,,,,,,
0,:Attack1,,,,,,,
0,BoneH,404,226,30,0,0,0,
0,JMPABS,Rnd1,,,,,,
0,:Attack2,,,,,,,
0,BoneH,404,391,30,0,0,0,
0,JMPABS,Rnd1,,,,,,
0,:Attack3,,,,,,,
0,BoneH,404,308.5,30,0,0,1,
0,JMPABS,Rnd1,,,,,,
0,:Rnd1,,,,,,,
,,,,,,,,
0.5,RND,B,3,,,,,
0,ADD,B,$B,1,,,,
0,Sound,Ding,,,,,,
0,JMPREL,$B,,,,,,
0,JMPABS,Attack4,,,,,,
0,JMPABS,Attack5,,,,,,
0,JMPABS,Attack6,,,,,,
0,:Attack4,,,,,,,
0,BoneH,454,226,30,0,0,0,
0,JMPABS,Rnd2,,,,,,
0,:Attack5,,,,,,,
0,BoneH,454,391,30,0,0,0,
0,JMPABS,Rnd2,,,,,,
0,:Attack6,,,,,,,
0,BoneH,454,308.5,30,0,0,1,
0,JMPABS,Rnd2,,,,,,
0,:Rnd2,,,,,,,
,,,,,,,,
0.5,RND,C,3,,,,,
0,ADD,C,$C,1,,,,
0,Sound,Ding,,,,,,
0,JMPREL,$C,,,,,,
0,JMPABS,Attack7,,,,,,
0,JMPABS,Attack8,,,,,,
0,JMPABS,Attack9,,,,,,
0,:Attack7,,,,,,,
0,BoneH,504,226,30,0,0,0,
0,JMPABS,Rnd3,,,,,,
0,:Attack8,,,,,,,
0,BoneH,504,391,30,0,0,0,
0,JMPABS,Rnd3,,,,,,
0,:Attack9,,,,,,,
0,BoneH,504,308.5,30,0,0,1,
0,JMPABS,Rnd3,,,,,,
0,:Rnd3,,,,,,,
,,,,,,,,
0.5,RND,D,3,,,,,
0,ADD,D,$D,1,,,,
0,Sound,Ding,,,,,,
0,JMPREL,$D,,,,,,
0,JMPABS,Attack10,,,,,,
0,JMPABS,Attack11,,,,,,
0,JMPABS,Attack12,,,,,,
0,:Attack10,,,,,,,
0,BoneH,554,226,30,0,0,0,
0,JMPABS,Rnd4,,,,,,
0,:Attack11,,,,,,,
0,BoneH,554,391,30,0,0,0,
0,JMPABS,Rnd4,,,,,,
0,:Attack12,,,,,,,
0,BoneH,554,308.5,30,0,0,1,
0,JMPABS,Rnd4,,,,,,
0,:Rnd4,,,,,,,
,,,,,,,,
0.5,RND,E,3,,,,,
0,ADD,E,$E,1,,,,
0,Sound,Ding,,,,,,
0,JMPREL,$E,,,,,,
0,JMPABS,Attack13,,,,,,
0,JMPABS,Attack14,,,,,,
0,JMPABS,Attack15,,,,,,
0,:Attack13,,,,,,,
0,BoneH,604,226,30,0,0,0,
0,JMPABS,Rnd5,,,,,,
0,:Attack14,,,,,,,
0,BoneH,604,391,30,0,0,0,
0,JMPABS,Rnd5,,,,,,
0,:Attack15,,,,,,,
0,BoneH,604,308.5,30,0,0,1,
0,JMPABS,Rnd5,,,,,,
0,:Rnd5,,,,,,,
,,,,,,,,
0.5,BlackScreen,1,,,,,,
0,BlackScreen,0,,,,,,
,,,,,,,,
0,MUL,A,$A,2,,,,
0,SUB,A,$A,1,,,,
0,JMPREL,$A,,,,,,
0,BoneV,404,231,75,2,500,0,
0,JMPREL,4,,,,,,
0,BoneV,404,311,75,2,500,0,
0,JMPREL,2,,,,,,
0,BoneV,404,231,155,2,500,1,
0,Sound,BoneStab,,,,,,
0.5,MUL,B,$B,2,,,,
0,SUB,B,$B,1,,,,
0,JMPREL,$B,,,,,,
0,BoneV,404,231,75,2,500,0,
0,JMPREL,4,,,,,,
0,BoneV,404,311,75,2,500,0,
0,JMPREL,2,,,,,,
0,BoneV,404,231,155,2,500,1,
0,Sound,BoneStab,,,,,,
0.5,MUL,C,$C,2,,,,
0,SUB,C,$C,1,,,,
0,JMPREL,$C,,,,,,
0,BoneV,404,231,75,2,500,0,
0,JMPREL,4,,,,,,
0,BoneV,404,311,75,2,500,0,
0,JMPREL,2,,,,,,
0,BoneV,404,231,155,2,500,1,
0,Sound,BoneStab,,,,,,
0.5,MUL,D,$D,2,,,,
0,SUB,D,$D,1,,,,
0,JMPREL,$D,,,,,,
0,BoneV,404,231,75,2,500,0,
0,JMPREL,4,,,,,,
0,BoneV,404,311,75,2,500,0,
0,JMPREL,2,,,,,,
0,BoneV,404,231,155,2,500,1,
0,Sound,BoneStab,,,,,,
0.5,MUL,E,$E,2,,,,
0,SUB,E,$E,1,,,,
0,JMPREL,$E,,,,,,
0,BoneV,404,231,75,2,500,0,
0,JMPREL,4,,,,,,
0,BoneV,404,311,75,2,500,0,
0,JMPREL,2,,,,,,
0,BoneV,404,231,155,2,500,1,
0,Sound,BoneStab,,,,,,
0.5,SansBody,HandUp,,,,,,
0.1,BoneStab,3,50,0.65,10,,,
0.1,SansSlam,3,,,,,,
0,Sound,Ding,,,,,,
0.5,SansBody,HandDown,,,,,,
0.1,BoneStab,1,50,0.65,10,,,
0.1,SansSlam,1,,,,,,
0,Sound,Ding,,,,,,
,,,,,,,,
0.5,HeartMode,0,,,,,,
0,SansAnimation,Idle,,,,,,
,,,,,,,,
0,RND,F,3,,,,,
0,ADD,F,$F,1,,,,
0,Sound,Ding,,,,,,
0,JMPREL,$F,,,,,,
0,JMPABS,Attack16,,,,,,
0,JMPABS,Attack17,,,,,,
0,JMPABS,Attack18,,,,,,
0,:Attack16,,,,,,,
0,BoneH,404,226,30,0,0,0,
0,JMPABS,Rnd6,,,,,,
0,:Attack17,,,,,,,
0,BoneH,404,391,30,0,0,0,
0,JMPABS,Rnd6,,,,,,
0,:Attack18,,,,,,,
0,BoneH,404,308.5,30,0,0,1,
0,JMPABS,Rnd6,,,,,,
0,:Rnd6,,,,,,,
,,,,,,,,
0.4,BlackScreen,1,,,,,,
0,BlackScreen,0,,,,,,
0,Sound,Ding,,,,,,
0,BoneVRepeat,240,216,65,2,0,20,12
0,BoneVRepeat,240,336,60,2,0,20,12
,,,,,,,,
0.4,MUL,F,$F,2,,,,
0,SUB,F,$F,1,,,,
0,JMPREL,$F,,,,,,
0,BoneV,404,231,75,2,500,0,
0,JMPREL,4,,,,,,
0,BoneV,404,311,75,2,500,0,
0,JMPREL,2,,,,,,
0,BoneV,404,231,155,2,500,1,
0,Sound,BoneStab,,,,,,
0.7,EndAttack,,,,,,,
